Job Title,Resume
Hotel Worker,"Summary

Resourceful Hospitality Professional with over five years of experience in hotel operations. I’m eager to help SwiftWing Inc. achieve its objectives, with my Front Desk knowledge and skills. With a passion for customer service and a proven track record in providing excellent hospitality services, I am confident my qualifications will help the company achieve its objectives. Increased overall customer loyalty by 30% at MagnaCore Hotels.

Experience

Front Desk Receptionist

MagnaCore Hotels, Springfield, MA

April 2018–July 2020

Key Qualifications & Responsibilities

Greeted customers upon arrival and handled check-in/check-out processes efficiently.
Answered guests' queries regarding services provided by the hotel and local attractions.
Processed payments through cash or credit cards and issued receipts for all transactions.
Provided daily reports on occupancy status and guest feedback to the management team.
Ensured compliance with hotel policies and procedures related to front desk operations.
Key Achievement:

Implemented an incentive program that increased guest loyalty by 30%. ?
Front Desk Clerk

Epsilon Group, Springfield, MA

January 2015–March 2018

Key Qualifications & Responsibilities

Assisted in resolving customer complaints professionally and promptly .
Maintained up-to-date records of transactions related to front desk operations such as room reservations, bills receivables, etc., using appropriate software systems .
Monitored lobby activities including housekeeping staff performance to ensure quality standards are met.
Key Achievement:

Improved reception area workflow by implementing new organizational techniques which reduced waiting time for customers by 40%.
Education

BSc Hospitality Management

Boston University, Boston, MA

June 2011–May 2015

Relevant Extracurricular Activities

Volunteered as a tour guide in Boston’s Freedom Trail Tours.
Organized monthly networking events for fellow hospitality students.
Academic Achievements:

Awarded Outstanding Student Performance Award for three consecutive terms.
Skills

Microsoft Office Suite
Oracle Property Management System (PMS)
SABRE Booking System
IDeaS Revenue Optimization System
Communication
Problem Solving
Time Management
Interpersonal Relationships
Organization
Certifications

Certified Hotel Administrator, American Hotel & Lodging Association, 2017
Awards

2016 – Employee of the Year Award; MagnaCore Hotels
Memberships

Member of Hospitality Management Association since 2014
Languages

English—Native
Spanish—Advanced
Interests

Yoga Instructor - Organized yoga classes twice a week at local park"
Hotel Worker,"Summary
&nbsp;
Effective and efficient Certified Hotel Administrator with nearly 10 years of experience working in a dynamic environment. Passionate about providing an excellent guest experience while maintaining productive, positive departments within the hotel. Experienced with interdepartmental management, organization and supervision. Striving to bring improved processes and superiority of service to a new position.
Education
&nbsp;
Hudson University
Bachelor of Arts in hotel management
Experience
&nbsp;
Present Hotel Marathon | New York, New York, Hotel Manager
September 2016–Current
Develop, implement and monitor the budget to ensure the realization of financial goals
Resolve customer complaints and ensure positive guest experiences
Create specific, measurable, achievable and time-based goals to contribute to the success of each department
Decreased the number of customer complaints by 40% in six months
Improve hotel rating on all public review sites
Hotel Greenwood | New York, New York, Assistant Hotel Manager
June 2013–August 2016
Monitored departmental processes to ensure smooth operations
Aided in recruitment and hiring efforts, establishing a complete and highly talented staff
Reviewed employee timesheets for accurate payroll processing
Certifications
&nbsp;
Certified Hotel Administrator, AHLEI - 2013
Skills
&nbsp;
Advanced leadership abilities
Communication
Understanding of hotel processes
Sales management experience
Problem-solving
Expert in guest services
Supervisory skills
Organization"
Hotelier,"Professional Summary
Dynamic and results-driven Hotelier with over 15 years of experience managing luxury, boutique, and full-service hotels. Skilled in overseeing daily operations, enhancing guest satisfaction, and leading revenue optimization efforts. Known for strategic leadership, building high-performing teams, and consistently improving profitability while maintaining a high standard of guest service and operational efficiency. Adept at adapting to changing market conditions and exceeding brand expectations.

Core Competencies
Operations Management
Guest Experience & Satisfaction
Revenue Optimization & Forecasting
Sales & Marketing Strategy
Team Building & Leadership
Budgeting & Cost Control
Crisis Management & Problem-Solving
Key Achievements
Increased Revenue by 25% through dynamic pricing and yield management strategies across all room categories.
Enhanced Guest Satisfaction to an average 4.8-star rating by implementing service excellence programs and refining guest communication.
Reduced Operational Costs by 15% by optimizing staffing levels, renegotiating vendor contracts, and implementing energy-saving measures.
Boosted Occupancy by 20% by creating unique seasonal offers, partnerships with travel agencies, and strategic online marketing initiatives.
Professional Experience
General Manager
The Grand Luxe Hotel | New York, NY
August 2018 – Present

Direct all hotel operations, including front office, housekeeping, F&B, and sales departments, ensuring seamless guest experiences and operational excellence.
Conduct weekly revenue meetings to strategize pricing, promotions, and occupancy targets, resulting in consistently exceeding budget goals.
Cultivate strong relationships with guests, resolving issues promptly to maintain high levels of satisfaction and drive positive reviews.
Oversee staff recruitment, training, and performance management, fostering a collaborative culture that has led to high employee retention.
Hotel Operations Manager
Sunset Resorts | Miami, FL
June 2014 – July 2018

Managed day-to-day hotel operations for a 200-room resort, consistently maintaining high standards of service and safety.
Implemented a customer feedback loop with department heads, achieving a 90% resolution rate on guest issues and an increase in repeat visitors.
Improved efficiency in F&B and housekeeping departments by redesigning workflows, resulting in a 20% increase in productivity.
Introduced cross-departmental training programs that equipped team members to handle guest inquiries, improving guest satisfaction scores.
Assistant Front Office Manager
Paradise Palms Hotel | Orlando, FL
March 2010 – May 2014

Coordinated front desk activities, ensuring smooth check-ins, check-outs, and handling of special guest requests.
Played a key role in enhancing loyalty program sign-ups by training staff in personalized service and upselling techniques, leading to a 30% increase in loyalty enrollments.
Assisted in forecasting occupancy and preparing shift schedules, reducing labor costs while maintaining service quality.
Developed an efficient guest complaint resolution system that improved response times and guest satisfaction.
Education & Certifications
Bachelor of Science in Hospitality Management
Florida International University, Miami, FL

Certifications

Certified Hotel Administrator (CHA)
Certified Hospitality Revenue Manager (CHRM)
Project Management Professional (PMP)
Affiliations
American Hotel & Lodging Association (AHLA)
Hospitality Sales and Marketing Association International (HSMAI)
Institute of Hospitality
References
Available upon request."
Hotelier,"Profile Summary
Dedicated and innovative Hotelier with over 15 years of experience leading luxury and boutique hotel operations, enhancing brand reputation, and exceeding profitability targets. Recognized for driving customer satisfaction and operational efficiency through team leadership, strategic marketing, and a guest-centric approach. Proven success in increasing occupancy rates, optimizing revenue, and fostering high-quality guest experiences in dynamic, high-demand environments.

Expertise
Operational Leadership: Comprehensive knowledge of hotel operations, from front office and housekeeping to food & beverage and sales management.
Guest Satisfaction: Skilled in creating memorable guest experiences and improving service quality through continuous training and feedback programs.
Revenue Growth: Expertise in yield management, pricing strategies, and revenue forecasting to maximize profitability.
Cost Management: Experienced in implementing cost-control measures and budget optimizations to increase operational efficiency.
Marketing & Sales: Knowledgeable in digital marketing, social media engagement, and direct booking strategies to increase occupancy and guest loyalty.
Professional Experience
Director of Operations
Royal Suites Hotel | San Francisco, CA
April 2018 – Present

Led a team of 150+ staff in delivering exceptional guest service across a 300-room, 5-star hotel, achieving a consistent 95% guest satisfaction rate.
Increased average occupancy by 18% through the development of innovative seasonal packages, VIP loyalty programs, and partnership promotions.
Implemented advanced booking systems and dynamic pricing strategies, resulting in a 25% boost in annual revenue.
Introduced eco-friendly initiatives, including energy-efficient lighting and waste reduction programs, reducing operational costs by 12% and aligning the hotel with sustainability trends.
Hotel Manager
Blue Waters Resort & Spa | Miami, FL
May 2014 – March 2018

Oversaw daily operations in a 250-room resort, ensuring exceptional service standards and efficient processes across all departments.
Increased guest retention by 30% through the creation of personalized guest experience programs, loyalty incentives, and enhanced service training.
Designed and executed promotional campaigns targeting off-peak periods, which increased room bookings by 20% year-over-year.
Developed comprehensive staff training sessions on hospitality best practices, resulting in improved performance and a 15% increase in guest satisfaction scores.
Assistant Operations Manager
Luxury Stay Hotels | Chicago, IL
January 2010 – April 2014

Supported operational oversight in a 150-room luxury hotel, with a focus on guest relations, event planning, and revenue management.
Enhanced the front desk’s efficiency by 25% by streamlining check-in/out procedures and introducing a mobile concierge service.
Played a key role in launching an in-house restaurant, overseeing staff training, menu development, and service delivery, which contributed to a 10% increase in guest spending.
Developed and maintained SOPs for front office and housekeeping, creating consistency in service standards and improving guest feedback.
Education
Bachelor of Science in Hotel and Tourism Management
University of Nevada, Las Vegas

Certifications
Certified Hospitality Supervisor (CHS)
Certified Revenue Management Executive (CRME)
Food and Beverage Management Certification
Industry Memberships
American Hotel & Lodging Association (AHLA)
Hospitality Financial and Technology Professionals (HFTP)
References
Available upon request."
Househusband,"Profile Summary
Organized and proactive Househusband with over 10 years of experience managing household operations, supporting children’s learning, and creating a nurturing, efficient home environment. Proficient in budgeting, meal planning, and multitasking to ensure a balanced, harmonious home. Known for promoting healthy routines, supporting family goals, and managing day-to-day responsibilities with care and dedication.

Core Skills
Household Management: Expert in daily scheduling, cleaning routines, and coordinating family activities.
Meal Planning & Cooking: Skilled in crafting nutritious meal plans and preparing homemade meals tailored to family preferences.
Budgeting & Financial Management: Experienced in tracking expenses and creating cost-effective solutions to meet financial goals.
Childcare & Academic Support: Supportive in helping children with homework, engaging in educational activities, and fostering learning.
Home Maintenance & Organization: Experienced in performing minor household repairs and maintaining a well-organized living space.
Key Achievements
Reduced Monthly Expenses by 20%: Developed strategies for grocery shopping, energy usage, and budgeting, which saved an average of $300 per month.
Created a Structured Routine: Balanced household chores, childcare, and educational activities, creating a predictable and productive environment.
Promoted Family Health: Focused on nutritious meal planning and active lifestyles, leading to improved family wellness and reduced medical visits.
Enhanced Learning Support: Actively supported children’s education with structured homework help and reading sessions, leading to noticeable improvements in school performance.
Household Experience
Full-Time Househusband
Collins Family Residence | Austin, TX
January 2014 – Present

Oversee all household responsibilities, including meal planning, grocery shopping, cleaning, budgeting, and coordinating family events.
Established a daily routine that includes dedicated learning time, outdoor activities, and family meals, fostering a balanced lifestyle.
Planned and prepared healthy, varied meals each week to accommodate dietary needs and preferences, promoting family wellness.
Managed a household budget to monitor expenses, identify savings, and meet financial goals while reducing unnecessary costs.
Conducted minor home maintenance tasks and scheduled professional repairs when necessary, ensuring a safe, well-kept environment.
Community Engagement & Volunteering
Austin Parent-Teacher Association (PTA) & Local Community Center | Austin, TX
September 2018 – Present

Volunteered with the PTA, assisting with school events, fundraisers, and community outreach programs.
Organized monthly playgroups and educational activities for children in the neighborhood, creating opportunities for social interaction and learning.
Additional Skills
Time Management: Excellent organizational skills for managing multiple tasks and priorities.
First Aid: Basic first aid knowledge for household safety and preparedness.
Digital Literacy: Proficient in using apps for budgeting, scheduling, and meal planning.
Education
High School Diploma
Travis High School | Austin, TX
Graduated: June 2005

Certifications

CPR & First Aid Certified – American Red Cross, 2019
Basic Nutrition & Meal Planning – Online Course, 2020
References
Available upon request."
Househusband,"Professional Profile
Dependable and detail-oriented Househusband with 8+ years of experience ensuring a well-organized, efficient home environment. Adept at managing household budgets, coordinating family schedules, and promoting a positive, balanced lifestyle. Known for resourcefulness and dedication to fostering a welcoming, safe space for the family to thrive.

Key Skills
Household Budgeting & Financial Planning: Proficient in managing expenses, finding savings, and creating sustainable monthly budgets.
Time & Schedule Management: Skilled in organizing daily routines and coordinating appointments, extracurriculars, and family commitments.
Meal Preparation & Nutritional Planning: Experienced in meal prepping and creating nutritious, family-friendly menus tailored to dietary needs.
Childcare & Education Support: Knowledgeable in creating educational and recreational activities that support children’s growth.
Home Maintenance: Competent in minor household repairs, general upkeep, and coordinating professional services as needed.
Relevant Experience
Household Manager
Wright Family Residence | Nashville, TN
February 2016 – Present

Managed all aspects of household operations, including budgeting, shopping, cooking, cleaning, and organizing family schedules.
Created and implemented a weekly meal plan to promote balanced nutrition, resulting in healthier eating habits for the entire family.
Oversaw the family budget, tracking expenses to achieve a 15% reduction in grocery and utility costs over the last two years.
Coordinated family schedules, including school drop-offs, appointments, and extracurricular activities, maintaining an organized and stress-free environment.
Conducted light maintenance and repairs, as well as coordinating contractors for larger household projects, ensuring the home remains safe and functional.
Community Engagement
Local Family Center | Nashville, TN
September 2017 – Present

Volunteered in family support groups and children’s reading programs, organizing sessions and engaging local families in community-building activities.
Assisted in planning events, including holiday gatherings and community workshops, fostering connections and supporting neighborhood involvement.
Notable Accomplishments
Enhanced Family Health: Implemented a balanced weekly meal plan that reduced processed foods, supporting overall wellness and energy for family members.
Reduced Costs by 15%: Leveraged budgeting techniques and cost-saving strategies to lower household spending without sacrificing quality.
Improved Household Efficiency: Developed a chore schedule and organized storage systems to streamline daily routines and reduce clutter.
Education & Certifications
High School Diploma
Northside High School | Nashville, TN
Graduated: May 2006

First Aid & CPR Certification – American Red Cross, 2021
Household Budgeting & Financial Planning – Online Course, 2019
Technical Skills
Microsoft Office Suite: Proficient in Excel for budgeting and Word for organizing family documents.
Digital Tools: Experienced with meal-planning and budget-tracking apps.
References
Available upon request."
Magistrates Clerk,"About Me
Court Clerk

An Accomplished Court Clerk, a Seasoned Court Clerk offering insight and experience on a wide array of court cases; dependable prompt, and skilled at record keeping and case processing
Extensive experience of XX years in preparing, reviewing, and processing legal documents, correspondence, motions, and orders  
Skilled in completing court-related forms such as petitions and warrants; collecting fines, fees, and bond payments; preparing the dockets of scheduled cases  
Adept in recording documentation of name changes, marriage licenses, business licenses, and adoption records; balancing and reconciling daily cash receipts; administering oaths to witnesses in court  
Strong understanding of legal research with proven ability to handle multiple tasks simultaneously and rapidly resolve complex legal issues  
Able to do research, analyze complex information and think logically; computer literate with complete knowledge of the judicial system; excellent time-management and documentation skills  
Education
Law and Finance, Bachelor of Laws, Completed, August 1964

Banaras Hindu University

– Marks null

Varanasi , UP

Certifications
Certified Municipal Clerk, Completed , January 2017
Work Experience
Period: March 2014 - Current

Court Clerk / Law Clerk

Bombay High Court

Delhi,
Perform a variety of administrative tasks for the courts; prepare dockets of cases to be called  
Secure information about court cases for judges; contact witnesses, lawyers, and attorneys
Process legal documents; manage court records; schedule court cases
 Audit files to ensure accuracy and completeness
Prepare, file, and forward documents; assemble all documents needed for a trail 
Identify and request missing material; review documents to ensure procedures are accurate  
Record minutes of court proceedings; transcribe minutes
Administer oaths taken by jurors and witnesses
Prepare and maintain a docket of scheduled cases; record witness testimonies 
Document court orders and fines; notify participants about trial details
Arrange and record payments for fees and court costs
Process passports; swear in new citizens
Manage official documents related to mortgages, marriage licenses, and deeds
Uphold all court files and records to ensure they stay up-to-date and accessible  
Period: November 2002 - October 2013

Court Clerk

Owens Career Center

Thane, MH
Answered the phone to take messages and transfer calls to the applicable colleague
Recorded the minutes of meetings and court proceedings 
Assisted in all office management and administrative processes
Created calendars of cases to be called
Prepared and distribute court orders including probation orders, sentencing information, and court summonses; collect court fines and maintain records of amounts collected
Ensured that all legal documents submitted adhered to the law and court procedures
Performed basic bookkeeping tasks; administer oaths and affirmations  
Skills
Legal Research
Litigation
Government
Criminal Law
Legal Writing
Court Proceedings
Criminal Justice
Public Policy
Compliance 
Languages
English
Hindi
Softwares
Internet Applications
MS Office – Word, Excel and PowerPoint
Operating System
Window
Personal Interests
Yoga
Music
Reading"
Magistrates Clerk,"Summary

A talented individual who has vast experience in handling documentations and court proceeding-related matters; is able to handle all the administrative duties and responsibilities inside the court; has maintained records in an orderly manner that anyone can easily work with; has great time management skills; can handle all inquiries of the public regarding matters of the court.

Professional Experience:

Court ClerkFebruary 2007- Present

Court of Appeals, New Orleans, Louisiana

Responsibilities:

Handled flow of operations in the court system.
Recorded case dispositions, court orders, and made arrangements for payment of court fees.
Corresponded with different departments regarding inquiries received from the general public regarding judicial matters and information regarding the court system.
Prepared and issued orders of the court, including probation orders, documentation releases, sentencing information, and summons.
Attended and recorded all the sessions in the court.
Collected all bills which are payable to the court and supported other initiatives depending on the court order.
Deputy Clerk of CourtApril 2004- January 2007

Court of Appeals, New Orleans, Louisiana

Responsibilities:

Performed clerical duties in the court system.
Maintained all court records, collected fees and other transactions made with the court.
Prepared docket or calendar of cases to be summoned.
Examined legal documents submitted to court for adherence to law or court procedures.
Explained procedures or forms to both parties involved in the trial.
Secured written information for judges, attorneys and litigants.
Administered oath of witnesses and recorded minutes of court proceedings.
Court Clerk AssistantMay 2000- April 2004

Court of Appeals, New Orleans, Louisiana

Responsibilities:

Handled flow of operations in the court system.
Recorded case dispositions, court orders, and made arrangements for payment of court fees.
Corresponded with different departments regarding inquiries received from the general public regarding judicial matters and information regarding the court system.
Prepared and issued orders of the court, including probation orders, documentation releases, sentencing information, and summons.
Attended and recorded all the sessions in the court.
Collected all bills which are payable to the court and supported other initiatives depending on the court order.
Deputy Clerk of CourtApril 2004- January 2007

Court of Appeals, New Orleans, Louisiana

Education

Masters in Public Administration

University of Arizona, 2000

Bachelor’s Degree in Criminal Justice

University of Arizona, 1998

Skills/Certifications:

Proficient in Word, Excel, Windows-based applications
Knowledge in several CRM programs (Oracle, Sugar and SAP database)
Ability to interact with all levels of the organization
Excellent verbal and written communication skills
Time-management, listening, comprehension skills
Bookkeeping and documentation skills
Associations/Organizations

Federal Court Clerks’ Association, Member

Court Clerks’ Cooperative Authority, Member"
Maid,"Summary:

Emily is a dedicated and meticulous Maid with 5 years of experience in providing exceptional cleaning services. She is adept at maintaining a clean, sanitary, comfortable, and tidy environment for clients. Emily takes pride in her work and is committed to delivering top-notch results, ensuring customer satisfaction at all times.

Work Experience:

Cleaning Specialist at Sparkling Clean Services, Anytown, USA
Housekeeping Assistant at Sunshine Inn, Anytown, USA
Residential Cleaner at Fresh Start Cleaning Company, Anytown, USA
Education:

High School Diploma
Certification in Professional Housekeeping
Skills:

Deep cleaning
Dusting and polishing
Vacuuming and mopping
Laundry and ironing
Excellent time management
Attention to detail
Certifications:

Professional Housekeeping Certification
Health and Safety Certification
Languages:

English (Fluent)
Spanish (Basic)"
Maid,"Summary
&nbsp;
Dedicated Housekeeper with four years of experience as a professional cleaner. Excellent attention to detail, general cleaning skills and collaboration skills and a rapid learner.
Education
&nbsp;
Valley View High School
High School Diploma
Experience
&nbsp;
Home Service Maids, Napa, CA, Housekeeper
June 2021 - Current
Travel to clients' homes with teams of other employees to complete cleanings
Complete general cleans of clients' homes, including dusting, window cleaning and tidying clutter
Work with fellow maids to complete larger projects, such as multi-family homes or apartment complexes
Maintain housekeeping supplies by ensuring all vacuums are functional and restocking cleaners, sponges and towels
Perform special requests when clients ask, such as carpet cleaning or silver polishing
Napa Senior Living Center, Napa, CA, Housekeeper
May 2020 – May 2021
Performed basic cleaning in residents' rooms each day, such as sanitizing surfaces and removing trash
Gathered laundry from residents' rooms to wash and return when clean, including linens and clothing
Inspected common areas, such as the lobby, sitting areas and elevators, each day to identify potential hazards or messes
Valley Hotel, Napa, CA, Junior Housekeeper
June 2018 – April 2020
Completed general housekeeping like changing the bed linens and removing trash from rooms after guests leave
Reported directly to the housekeeping manager to receive new additional tasks each day, like helping to deep clean the carpets
Responding to guest requests for more towels, linens and minibar items
Certifications
&nbsp;
OSHA Safety Certificate
Certified Executive Housekeeper (CEH)
Skills
&nbsp;
Attention to detail
Reliability
Basic cleaning skills
Ability to work independently
Time management"
Maintenance Fitter,"Work Experience
Lead Mechanical Fitter
05/2017 - PRESENT
Philadelphia, PA
Assemble original/refurbished specialist vehicles and equipment complete to customer’s specification as outlined in the customer’s order
Use precision measurement tools and equipment to determine serviceability and accurate
Identify, plan, manage & execute preventative and corrective maintenance tasks as well as provide technical assistance as required
Arrange & preform multiple frequent monthly site visits to fuel installations across various Defence Bases within Victoria with the use of company supplied pool vehicle
Arrange pricing and subcontractor engagement for specialised responsive maintenance tasks
Carry out work and inspections of work in accordance with Work Health Safety & Quality Assurance requirements and the relevant codes and industry standards
Utilise clients permit to work system by preparing permit applications and JSA’s
Mechanical Fitter
02/2014 - 11/2016
Dallas, TX
Assist the Supervisor with job timing, work scheduling, managing responsive maintenance as well as make recommendations to the Supervisor in relation to work practices, which could improve quality, increase productivity and reduce costs
Use of portable device(s) to manage work orders
Completion and administration of maintenance inspection records
Maintenance on all types of pumps and blowers
Work in accordance with quality plans and work procedures
Fault-finding on rotating equipment, as well as auxiliary systems (e.g., mechanical seal systems)
Be conversant with the technical parameters governing pump maintenance regarding, mechanical seal installation, bearing clearances, gaskets, rotors, couplings, alignment and protection devices
Be conversant with statutory requirements on plant process tanks and safety devices
Work according to SAP Work Management Process
Plumber / Mechanical Fitter
01/2009 - 08/2013
Boston, MA
Maintenance on mechanical equipment, first and second line
Fault finding Inspection of plant equipment
Comply to all relevant safety standards / codes
Identify all unsafe conditions and bring under attention of management
Willing to do standby duty
Technical Knowledge of trade
Good interpersonal relations and leadership skills
Participate in the development, review, and update of the JHA’s. Upon completion, personnel shall sign the JHA in recognition of understanding the requirements
Ensure completion of Stepback 5X5’s
Education
St. Lawrence University
2005 - 2009
Engineer's Degree in Engineering
Professional Skills
Sound communication skills including – concise verbal skills, the ability to write short technical
Excellent communication skills & proven ability to display initiative
Relevant Mechanical Fitting Experience with transferrable skills
Proven fault finding and diagnostic skills
Excellent written and verbal communication skills and good understanding of computer systems
Excellent organisational and efficiency skills
Advanced mechanical skills and experience operating within a workshop environment, repairs and full refurbishment workshop"
Maintenance Fitter,"Professional Summary
Established mechanical fitter with eight years in the industry and outstanding troubleshooting and design skills. Seeking a job where I can advance to a lead mechanical fitter position.
Work History
Mechanical Fitter, September 2019–Current
Hillside Auto, St. Louis, MO
Design parts for automobile manufacturing machinery
Review existing troubleshooting and repairs processes to recommend improvements to management
Supervise other team members to ensure they follow company procedures during maintenance and installations
Mechanical Fitter, June 2015–August 2018
Hillside Auto, St. Louis, MO
Troubleshot machinery to identify areas for improvement or repair
Measured fittings for new machine parts to ensure they're compatible with the machinery
Performing routine repairs to keep manufacturing equipment functional and updated
Mechanical Fitter Apprentice, June 2014–May 2015
Magner Manufacturing, St. Louis, MO
Observed the mechanical fitters at work to learn about key processes and skills
Helped install and repair machine parts to ensure the manufacturing equipment functioned properly
Used precision instruments to measure parts and fittings for new or updated machinery
Skills
Project development | Machine maintenance | Attention to detail | Problem-solving skills | Creative design
Education
High school diploma
Racing Bird High School"
Make Up Artist,"Profile
An innovative Makeup Artist with six years of experience delivering cosmetology and makeup services to modeling agencies and magazines, including Bridal Monthly. A proven track record of executing complex makeup looks and styles, including prosthetics, special effects makeup, and hair styles.

Professional Experience
Freelance Makeup Artist, Self-employed, Los Angeles, CA
May 2018 – March 2021

Provide a wide variety of makeup services for notable TV networks, photographers, fashion designers, and magazines, including Bridal Monthly, Fox, and CNN
Provide makeup services to runway models in fast-paced environments and maintain 95% client satisfaction
Delivered makeup services such as airbrushing, prosthetics, and continuity provision for a 20-person cast of a recent feature film on Netflix
Makeup artist, Today’s Bride San Francisco, San Francisco, CA
November 2015 – May 2018

Executed bridal makeup and hair looks for more than 10 models per day and coordinated with magazine editors and photographers to define makeup looks prior to shoots
Improved the appearance of makeup by introducing new advanced preparation techniques such as exfoliation and extraction and built positive business relationships with clients
Education
Qualification in Cosmetology
American Beauty College School of Cosmetology & Barbering, West Covina, CA, September 2014 – September 2015

Key Skills
Airbrushing
Prosthetics
Special Effects Makeup
Bridal Makeup
Hairstyling
Certifications
Certified in Special Effects Makeup by the Cinema Makeup School, April 2018"
Make Up Artist,"
Resume Objective

Creative Makeup Artist with 4+ years of experience applying makeup to performers and salon customers. Possess a B.A. in Theater Studies and certificate in Makeup Artistry. Aiming to leverage my knowledge and experience of creating both natural and avant-garde looks to fill the role of Theatrical Makeup Artist in your company.


Education

Makeup Artistry – 150 hrs
Bellus Academy
2018

B.A. Theater Studies
California State University
2013 – 2017


Skills

Creativity
Communication
Wigs and prosthetics
Color effects
Time management
POS software

Work Experience

Performance Makeup Artist
Impact Studios / Poway, CA / 2020 – Present

Apply makeup to enhance the appearance of actors in stage and television performances after carefully assessing their skin tone
Maintain consistent character aesthetics and duplicate makeup work on a daily basis
Liaise with directors to develop unique looks for 100+ characters based on creative analysis of scripts
Remove makeup and advise artists regarding skin care
Order cosmetics and maintain stock of over 500 product types
Makeup Artist
Silk Boutique Salon / Boston, MA / 2018 – 2020

Applied makeup to clients before special events such as weddings, photo shoots, fashion shows and award ceremonies
Recommended makeup products to customers and made sales at 25% of my appointments
Represented the salon at national industry events
Booked appointments using the salon’s registration system
Acquired knowledge of 15 different makeup brands and their associated product lines

Awards

Best Student Makeup 2014 / California State University

"
Manicurist,"Profile
Results-driven and personable Manicurist with a demonstrated history of exceeding customer expectations. Skilled in delivering expert advice and enhancing client satisfaction through professional manicure and pedicure services. Cultivates strong client relationships and stays abreast of industry trends. Proficient in time management and adept at collaborating within a team environment.

Work experience
07/2016 - present, Manicurist, Samaria Beauty Supply, Inc., Milan, Italy
Executed professional manicures and pedicures, while effectively communicating with clients through phone or email.
Delivered exceptional customer service, offering expert advice on nail and hand treatments.
Addressed and resolved any client concerns or complaints.
Spearheaded the development and implementation of innovative procedures to enhance service quality and efficiency.
Cultivated and retained a dedicated client following, actively participating in promotional campaigns.
Achieved a significant increase in customer satisfaction ratings, elevating from 85% to 97% in 2018.
Education
09/2012 - 06/2016, High School, Istituto Labor Internazionale, Milan`, Italy
Achieved Graduated with Distinction, earning Grade 1 - A/excellent equivalent in all subjects
Participated in Clubs and Societies such as Fitness Club and Volleyball Team.
Skills
Languages
Italian
English
French
Interpersonal Skills
Customer Service
Creativity
Communication Skills
Complaint Handling
Detail-oriented
Good Team Player
Knowledge of Current Trends
Time Management
Volunteering
06/2015 - 08/2015, English Tutor, Go Overseas, Suva, Fiji
Certificates
06/2016, Certified Nail Technician, International Open Academy
11/2015, Driving Licence, Driving School"
Manicurist,"Work Experience
Manicurist
05/2015 - PRESENT
Dallas, TX
Ensure the safe storage of all chemicals when and when not in use
A current valid state cosmetologist license is required
Working knowledge of Microsoft Office and aptitude to learn other computer programs
Carries out policy of courtesy and service. - Cuts, shapes, and affixes artificial nails. Adds filler for maintenance of nails
Prepares fingernails for polishing by removing nail polish and/or designs currently on nails; cuts cuticles and/or nails, shapes nails and massages hands. - Performs nail wrapping with the use of nail glue, silk or linen wrapping, powder filling, etc. through the use of nail files, emery boards, etc. Ensures that nails are smooth for polishing
Uphold the standards of sanitation and sterilization as directed by law and the spa’s policies and procedures
Able to perform with current expertize Manicures, pedicures, paraffin treatments, acrylic and gel nails, nail art, nail extensions, silk wraps, massaging
Be knowledgeable of all products used in Service Protocols and Sold in Retail to be able to make recommendations to clients
Be able to perform with mastery all of the services offered on our Menu of Services
Education
Alliant International University - Sacramento Campus
2010 - 2015
School's Degree in Management
Professional Skills
Effective listening abilities, strong judgment skills in order to ascertain the condition and requests of the guest
Spa experience and working knowledge of Spa Software
At least one (1) year of experience in an upscale spa operation
Valid Certifications to US standards
Previous experience as a Manicurist
Spa Experience and knowledge of Spa Software
Experience as a Manicurist"
Map Mounter,"Summary
Highly skilled Map Mounter with 5+ years of experience in map mounting, precision mounting, alignment, and calibration. Proficient in map interpretation, meticulous attention to detail, and exceptional dexterity and manual skills. Proven ability to work independently and as part of a team to mount and prepare maps for various purposes. Committed to delivering high-quality results and meeting tight deadlines.

Education
Bachelor’s Degree in Geography or related field
CGPA: 7.5
September 2018
Skills
Map Mounting
Precision Mounting
Alignment and Calibration
Map Interpretation
Attention to Detail
Dexterity and Manual Skills
Work Experience
Map Mounter
Rand McNally
October 2022 – Present
Collaborated with cartographers and other professionals to ensure maps met specifications and project requirements.
Developed and implemented quality control measures to ensure adherence to industry standards and customer expectations.
Organized and managed maps and materials, maintaining an efficient and well-stocked inventory system.
Operated and maintained specialized equipment, including cutting machines, laminators, and mounting tables.
Map Mounter
National Geographic
November 2018 – September 2022
Mounted and laminated a wide range of maps, including topographic, navigational, and cadastral maps, ensuring accuracy and precision in alignment and positioning.
Utilized specialized equipment and techniques, such as heat presses, vacuums, and rollers, to mount maps onto a variety of substrates, ensuring optimal adhesion and durability.
Prepared and maintained mounting surfaces by cleaning and applying adhesives, ensuring a secure bond between the map and the substrate.
Inspected mounted maps for defects and imperfections, making necessary corrections and adjustments to ensure a professional and visually appealing finish.
Certificates
Certified Map Mounter (CMM)
Languages
English
French
German"
